Security	SEC filings	Ticker symbol	GICS Sector	GICS Sub Industry	Address of Headquarters	Date first added	CIK
AutoZone Inc	reports	AZO	Consumer Discretionary	Specialty Stores	Memphis, Tennessee		866787
Avago Technologies	reports	AVGO	Information Technology	Semiconductors	San Jose, California		1441634
AvalonBay Communities, Inc.	reports	AVB	Financials	REITs	Arlington, Virginia[1]		915912
Avery Dennison Corp	reports	AVY	Materials	Paper Packaging	Pasadena, California		8818
Avon Products	reports	AVP	Consumer Staples	Personal Products	New York, New York		8868
Baker Hughes Inc	reports	BHI	Energy	Oil & Gas Equipment & Services	Houston, Texas		808362
Ball Corp	reports	BLL	Materials	Metal & Glass Containers	Broomfield, Colorado		9389
Bank of America Corp	reports	BAC	Financials	Banks	Charlotte, North Carolina		70858
The Bank of New York Mellon Corp.	reports	BK	Financials	Banks	New York, New York		1390777
Bard (C.R.) Inc.	reports	BCR	Health Care	Health Care Equipment & Services	Murray Hill, New Jersey		9892
Baxter International Inc.	reports	BAX	Health Care	Health Care Equipment & Services	Deerfield, Illinois		10456
BB&T Corporation	reports	BBT	Financials	Banks	Winston-Salem, North Carolina		92230
Becton Dickinson	reports	BDX	Health Care	Health Care Equipment & Services	Franklin Lakes, New Jersey		10795
Bed Bath & Beyond	reports	BBBY	Consumer Discretionary	Specialty Stores	Union, New Jersey		886158
Bemis Company	reports	BMS	Materials	Paper Packaging	Neenah, Wisconsin		11199
Berkshire Hathaway	reports	BRK.B	Financials	Multi-Sector Holdings	Omaha, Nebraska		1067983
Best Buy Co. Inc.	reports	BBY	Consumer Discretionary	Computer & Electronics Retail	Richfield, Minnesota		764478
BIOGEN IDEC Inc.	reports	BIIB	Health Care	Biotechnology	Weston, Massachusetts		875045
BlackRock	reports	BLK	Financials	Diversified Financial Services	New York, New York		1364742
Block H&R	reports	HRB	Financials	Consumer Finance	Kansas City, Missouri		12659
Boeing Company	reports	BA	Industrials	Aerospace & Defense	Chicago, Illinois		12927
BorgWarner	reports	BWA	Consumer Discretionary	Auto Parts & Equipment	Auburn Hills, Michigan	16.12.2011	908255
Boston Properties	reports	BXP	Financials	REITs	Boston, Massachusetts		1037540
Boston Scientific	reports	BSX	Health Care	Health Care Equipment & Services	Natick, Massachusetts		885725
Bristol-Myers Squibb	reports	BMY	Health Care	Health Care Distributors & Services	New York, New York		14272
Broadcom Corporation	reports	BRCM	Information Technology	Semiconductors	Irvine, California		1054374
Brown-Forman Corporation	reports	BF.B	Consumer Staples	Distillers & Vintners	Louisville, Kentucky		14693
C. H. Robinson Worldwide	reports	CHRW	Industrials	Air Freight & Logistics	Eden Prairie, Minnesota		1043277
CA, Inc.	reports	CA	Information Technology	Systems Software	Islandia, New York		356028
Cablevision Systems Corp.	reports	CVC	Consumer Discretionary	Broadcasting & Cable TV	Bethpage, New York		1053112
Cabot Oil & Gas	reports	COG	Energy	Oil & Gas Exploration & Production	Houston, Texas		858470
Cameron International Corp.	reports	CAM	Energy	Oil & Gas Equipment & Services	Houston, Texas		941548
Campbell Soup	reports	CPB	Consumer Staples	Packaged Foods & Meats	Camden, New Jersey		16732
Capital One Financial	reports	COF	Financials	Consumer Finance	Tysons Corner, Virginia		927628
Cardinal Health Inc.	reports	CAH	Health Care	Health Care Distributors & Services	Dublin, Ohio		721371
Carefusion	reports	CFN	Health Care	Health Care Equipment & Services	San Diego, California[2]		1457543
Carmax Inc	reports	KMX	Consumer Discretionary	Specialty Stores	Richmond, Virginia		1170010
Carnival Corp.	reports	CCL	Consumer Discretionary	Hotels, Resorts & Cruise Lines	Miami, Florida		815097
Caterpillar Inc.	reports	CAT	Industrials	Construction & Farm Machinery & Heavy Trucks	Peoria, Illinois		18230
CBRE Group	reports	CBG	Financials	Real Estate Management & Development	Los Angeles, California		1138118
CBS Corp.	reports	CBS	Consumer Discretionary	Broadcasting & Cable TV	New York, New York		813828
Celgene Corp.	reports	CELG	Health Care	Biotechnology	Summit, New Jersey		816284
CenterPoint Energy	reports	CNP	Utilities	Multi-Utilities & Unregulated Power	Houston, Texas		1130310
CenturyLink Inc	reports	CTL	Telecommunications Services	Integrated Telecommunications Services	Monroe, Louisiana		18926
Cerner	reports	CERN	Health Care	Health Care Distributors & Services	North Kansas City, Missouri		804753
CF Industries Holdings Inc	reports	CF	Materials	Fertilizers & Agricultural Chemicals	Deerfield, Illinois		1324404
Charles Schwab	reports	SCHW	Financials	Diversified Financial Services	San Francisco, California		316709
Chesapeake Energy	reports	CHK	Energy	Integrated Oil & Gas	Oklahoma City, Oklahoma		895126
Chevron Corp.	reports	CVX	Energy	Integrated Oil & Gas	San Ramon, California		93410
Chipotle Mexican Grill	reports	CMG	Consumer Discretionary	Restaurants	Denver, Colorado		1058090
Chubb Corp.	reports	CB	Financials	Property & Casualty Insurance	Warren, New Jersey		20171
CIGNA Corp.	reports	CI	Health Care	Managed Health Care	Philadelphia, Pennsylvania		701221
Cincinnati Financial	reports	CINF	Financials	Property & Casualty Insurance	Fairfield, Ohio		20286
Cintas Corporation	reports	CTAS	Industrials	Diversified Commercial Services	Mason, Ohio		723254
Cisco Systems	reports	CSCO	Information Technology	Networking Equipment	San Jose, California		858877
Citigroup Inc.	reports	C	Financials	Banks	New York, New York		831001
Citrix Systems	reports	CTXS	Information Technology	Internet Software & Services	Fort Lauderdale, Florida		877890
The Clorox Company	reports	CLX	Consumer Staples	Household Products	Oakland, California		21076
CME Group Inc.	reports	CME	Financials	Diversified Financial Services	Chicago, Illinois		1156375
CMS Energy	reports	CMS	Utilities	Multi-Utilities & Unregulated Power	Jackson, Michigan		811156
Coach Inc.	reports	COH	Consumer Discretionary	Apparel, Accessories & Luxury Goods	New York, New York		1116132
The Coca Cola Company	reports	KO	Consumer Staples	Soft Drinks	Atlanta, Georgia		21344
Coca-Cola Enterprises	reports	CCE	Consumer Staples	Soft Drinks	Atlanta, Georgia		1491675
Cognizant Technology Solutions	reports	CTSH	Information Technology	IT Consulting & Services	Teaneck, New Jersey		1058290
Colgate-Palmolive	reports	CL	Consumer Staples	Household Products	New York, New York		21665
Comcast Corp.	reports	CMCSA	Consumer Discretionary	Broadcasting & Cable TV	Philadelphia, Pennsylvania		1166691
Comerica Inc.	reports	CMA	Financials	Banks	Dallas, Texas		28412
Computer Sciences Corp.	reports	CSC	Information Technology	IT Consulting & Services	Falls Church, Virginia		23082
ConAgra Foods Inc.	reports	CAG	Consumer Staples	Packaged Foods & Meats	Omaha, Nebraska		23217
ConocoPhillips	reports	COP	Energy	Integrated Oil & Gas	Houston, Texas		1163165
CONSOL Energy Inc.	reports	CNX	Energy	Oil & Gas Exploration & Production	Cecil Township, Pennsylvania		1070412
Consolidated Edison	reports	ED	Utilities	Multi-Utilities & Unregulated Power	New York, New York		1047862
Constellation Brands	reports	STZ	Consumer Staples	Distillers & Vintners	Victor, New York		16918
Corning Inc.	reports	GLW	Industrials	Construction & Engineering	Corning, New York		24741
Costco Co.	reports	COST	Consumer Staples	Hypermarkets & Super Centers	Issaquah, Washington		909832
Covidien plc	reports	COV	Health Care	Health Care Equipment & Services	Dublin, Ireland		1385187
Crown Castle International Corp.	reports	CCI	Financials	REITs	Houston, Texas		1051470
CSX Corp.	reports	CSX	Industrials	Railroads	Jacksonville, Florida		277948
Cummins Inc.	reports	CMI	Industrials	Industrial Machinery	Columbus, Indiana		26172
CVS Caremark Corp.	reports	CVS	Consumer Staples	Drug Retail	Woonsocket, Rhode Island		64803
D. R. Horton	reports	DHI	Consumer Discretionary	Construction	Fort Worth, Texas		882184
Danaher Corp.	reports	DHR	Industrials	Industrial Machinery	Washington D.C		313616
Darden Restaurants	reports	DRI	Consumer Discretionary	Restaurants	Orlando, Florida		940944
DaVita Inc.	reports	DVA	Health Care	Health Care Facilities	Denver, Colorado		927066
Deere & Co.	reports	DE	Industrials	Construction & Farm Machinery & Heavy Trucks	Moline, Illinois		315189
Delphi Automotive	reports	DLPH	Consumer Discretionary	Auto Parts & Equipment	Gillingham, Kent, United Kingdom	24.12.2012	1521332
Delta Air Lines	reports	DAL	Industrials	Airlines	Atlanta, Georgia	10.09.2013	27904
Denbury Resources Inc.	reports	DNR	Energy	Oil & Gas Exploration & Production	Plano, Texas		945764
Dentsply International	reports	XRAY	Health Care	Health Care Supplies	York, Pennsylvania		818479
Devon Energy Corp.	reports	DVN	Energy	Oil & Gas Exploration & Production	Oklahoma City, Oklahoma		1090012
Diamond Offshore Drilling	reports	DO	Energy	Oil & Gas Drilling	Houston, Texas		949039
DirecTV	reports	DTV	Consumer Discretionary	Broadcasting & Cable TV	El Segundo, California		1465112
Discover Financial Services	reports	DFS	Financials	Consumer Finance	Riverwoods, Illinois		1393612
Discovery Communications	reports	DISCA	Consumer Discretionary	Broadcasting & Cable TV	Silver Spring, Maryland		1437107
Dollar General	reports	DG	Consumer Discretionary	General Merchandise Stores	Goodlettsville, Tennessee	03.12.2012	29534
Dollar Tree	reports	DLTR	Consumer Discretionary	General Merchandise Stores	Chesapeake, Virginia	16.12.2011	935703
Dominion Resources	reports	D	Utilities	Multi-Utilities & Unregulated Power	Richmond, Virginia		715957
Dover Corp.	reports	DOV	Industrials	Industrial Machinery	Downers Grove, Illinois		29905
Dow Chemical	reports	DOW	Materials	Diversified Chemicals	Midland, Michigan		29915
Dr Pepper Snapple Group	reports	DPS	Consumer Staples	Soft Drinks	Plano, Texas		1418135
DTE Energy Co.	reports	DTE	Utilities	Multi-Utilities & Unregulated Power	Detroit, Michigan		936340
Du Pont (E.I.)	reports	DD	Materials	Diversified Chemicals	Wilmington, Delaware		30554
Duke Energy	reports	DUK	Utilities	Electric Utilities	Charlotte, North Carolina		1326160
Dun & Bradstreet	reports	DNB	Industrials	Data Processing Services	Short Hills, New Jersey		1115222
E-Trade	reports	ETFC	Financials	Diversified Financial Services	New York, New York		1015780
Eastman Chemical	reports	EMN	Materials	Diversified Chemicals	Kingsport, Tennessee		915389
Eaton Corp. plc	reports	ETN	Industrials	Industrial Conglomerates	Dublin, Ireland		1551182
eBay Inc.	reports	EBAY	Information Technology	Internet Software & Services	San Jose, California		1065088
Ecolab Inc.	reports	ECL	Materials	Specialty Chemicals	St. Paul, Minnesota		31462
Edison Int'l	reports	EIX	Utilities	Multi-Utilities & Unregulated Power	Rosemead, California		827052
Edwards Lifesciences	reports	EW	Health Care	Health Care Equipment & Services	Irvine, California		1099800
Electronic Arts	reports	EA	Information Technology	Application Software	Redwood City, California		712515
EMC Corp.	reports	EMC	Information Technology	IT Consulting & Services	Hopkinton, Massachusetts		790070
Emerson Electric	reports	EMR	Industrials	Industrial Conglomerates	Ferguson, Missouri		32604
Ensco plc	reports	ESV	Energy	Oil & Gas Drilling	London, United Kingdom	30.07.2012	314808
Entergy Corp.	reports	ETR	Utilities	Electric Utilities	New Orleans, Louisiana		65984
EOG Resources	reports	EOG	Energy	Oil & Gas Exploration & Production	Houston, Texas		821189
EQT Corporation	reports	EQT	Energy	Oil & Gas Exploration & Production	Pittsburgh, Pennsylvania		33213
Equifax Inc.	reports	EFX	Financials	Diversified Financial Services	Atlanta, Georgia		33185
Equity Residential	reports	EQR	Financials	REITs	Chicago, Illinois		906107
Essex Property Trust Inc	reports	ESS	Financials	Residential REITs	Palo Alto, California		920522
Estee Lauder Cos.	reports	EL	Consumer Staples	Personal Products	New York, New York		1001250
Exelon Corp.	reports	EXC	Utilities	Multi-Utilities & Unregulated Power	Chicago, Illinois		1109357
Expedia Inc.	reports	EXPE	Consumer Discretionary	Hotels, Resorts & Cruise Lines	Bellevue, Washington		1324424
Expeditors Int'l	reports	EXPD	Industrials	Air Freight & Logistics	Seattle, Washington		746515
Express Scripts	reports	ESRX	Health Care	Health Care Distributors & Services	Cool Valley, Missouri		1532063
Exxon Mobil Corp.	reports	XOM	Energy	Integrated Oil & Gas	Irving, Texas		34088
F5 Networks	reports	FFIV	Information Technology	Networking Equipment	Seattle, Washington		1048695
Facebook	reports	FB	Information Technology	Internet Software & Services	Menlo Park, California		1326801
Family Dollar Stores	reports	FDO	Consumer Discretionary	General Merchandise Stores	Matthews, North Carolina		34408
Fastenal Co	reports	FAST	Industrials	Building Products	Winona, Minnesota		815556
FedEx Corporation	reports	FDX	Industrials	Air Freight & Logistics	Memphis, Tennessee		1048911
Fidelity National Information Services	reports	FIS	Information Technology	Internet Software & Services	Jacksonville, Florida		1136893
Fifth Third Bancorp	reports	FITB	Financials	Banks	Cincinnati, Ohio		35527
First Solar Inc	reports	FSLR	Energy	Heavy Electrical Equipment	Tempe, Arizona		1274494
FirstEnergy Corp	reports	FE	Utilities	Multi-Utilities & Unregulated Power	Akron, Ohio		1031296
Fiserv Inc	reports	FISV	Information Technology	Internet Software & Services	Brookfield, Wisconsin		798354
FLIR Systems	reports	FLIR	Industrials	Aerospace & Defense	Wilsonville, Oregon		354908
Flowserve Corporation	reports	FLS	Industrials	Industrial Machinery	Irving, Texas		30625
Fluor Corp.	reports	FLR	Industrials	Diversified Commercial Services	Irving, Texas		1124198
FMC Corporation	reports	FMC	Materials	Diversified Chemicals	Philadelphia, Pennsylvania		37785
FMC Technologies Inc.	reports	FTI	Energy	Oil & Gas Equipment & Services	Houston, Texas		1135152
Ford Motor	reports	F	Consumer Discretionary	Automobile Manufacturers	Dearborn, Michigan		37996
Forest Laboratories	reports	FRX	Health Care	Pharmaceuticals	New York, New York		38074
Fossil, Inc.	reports	FOSL	Consumer Discretionary	Apparel, Accessories & Luxury Goods	Richardson, Texas		883569
Franklin Resources	reports	BEN	Financials	Diversified Financial Services	San Mateo, California		38777
Freeport-McMoran Cp & Gld	reports	FCX	Materials	Diversified Metals & Mining	Phoenix, Arizona		831259
Frontier Communications	reports	FTR	Telecommunications Services	Integrated Telecommunications Services	Stamford, Connecticut		20520
GameStop Corp.	reports	GME	Consumer Discretionary	Specialty Stores	Grapevine, Texas		1326380
Gannett Co.	reports	GCI	Consumer Discretionary	Publishing	McLean, Virginia		39899
Gap (The)	reports	GPS	Consumer Discretionary	Apparel Retail	San Francisco, California		39911
Garmin Ltd.	reports	GRMN	Consumer Discretionary	Consumer Electronics	Schaffhausen, Switzerland	12.12.2012	1121788
General Dynamics	reports	GD	Industrials	Aerospace & Defense	Falls Church, Virginia		40533
General Electric	reports	GE	Energy	Industrial Conglomerates	Fairfield, Connecticut		40545
General Growth Properties Inc.	reports	GGP	Financials	REITs	Chicago, Illinois	10.12.2013	895648
General Mills	reports	GIS	Consumer Staples	Packaged Foods & Meats	Golden Valley, Minnesota		40704
General Motors	reports	GM	Consumer Discretionary	Automobile Manufacturers	Detroit, Michigan	06.06.2013	1467858
Genuine Parts	reports	GPC	Consumer Discretionary	Specialty Stores	Atlanta, Georgia		40987
Genworth Financial Inc.	reports	GNW	Financials	Life & Health Insurance	Richmond, Virginia		1276520
Gilead Sciences	reports	GILD	Health Care	Biotechnology	Foster City, California		882095
Goldman Sachs Group	reports	GS	Financials	Diversified Financial Services	New York, New York		886982
Goodyear Tire & Rubber	reports	GT	Consumer Discretionary	Tires & Rubber	Akron, Ohio		42582
Google Inc.	reports	GOOG	Information Technology	Internet Software & Services	Mountain View, California		1288776
Google Inc.	reports	GOOGL	Information Technology	Internet Software & Services	Mountain View, California		1288776
Grainger (W.W.) Inc.	reports	GWW	Industrials	Industrial Materials	Lake Forest, Illinois		277135
Halliburton Co.	reports	HAL	Energy	Oil & Gas Equipment & Services	Houston, Texas		45012
Harley-Davidson	reports	HOG	Consumer Discretionary	Motorcycle Manufacturers	Milwaukee, Wisconsin		793952
Harman Int'l Industries	reports	HAR	Consumer Discretionary	Consumer Electronics	Stamford, Connecticut		800459
Harris Corporation	reports	HRS	Information Technology	Telecommunications Equipment	Melbourne, Florida		202058
Hartford Financial Svc.Gp.	reports	HIG	Financials	Property & Casualty Insurance	Hartford, Connecticut		874766
Hasbro Inc.	reports	HAS	Consumer Discretionary	Leisure Products	Pawtucket, Rhode Island		46080
HCP Inc.	reports	HCP	Financials	REITs	Long Beach, California		765880
Health Care REIT, Inc.	reports	HCN	Financials	REITs	Toledo, Ohio[3]		766704
Helmerich & Payne	reports	HP	Energy	Oil & Gas Drilling	Tulsa, Oklahoma[4]		46765
Hess Corporation	reports	HES	Energy	Integrated Oil & Gas	New York, New York		4447
Hewlett-Packard	reports	HPQ	Information Technology	Computer Hardware	Palo Alto, California		47217
Home Depot	reports	HD	Consumer Discretionary	Home Improvement Retail	Cobb County, Georgia		354950
Honeywell Int'l Inc.	reports	HON	Industrials	Industrial Conglomerates	Morristown, New Jersey		773840
Hormel Foods Corp.	reports	HRL	Consumer Staples	Packaged Foods & Meats	Austin, Minnesota		48465
Hospira Inc.	reports	HSP	Health Care	Health Care Equipment & Services	Lake Forest, Illinois		1274057
Host Hotels & Resorts	reports	HST	Financials	REITs	Bethesda, Maryland		1070750
Hudson City Bancorp	reports	HCBK	Financials	Banks	Paramus, New Jersey		921847
Humana Inc.	reports	HUM	Health Care	Managed Health Care	Louisville, Kentucky		49071
Huntington Bancshares	reports	HBAN	Financials	Banks	Columbus, Ohio		49196
Illinois Tool Works	reports	ITW	Industrials	Industrial Machinery	Glenview, Illinois		49826
Ingersoll-Rand PLC	reports	IR	Industrials	Industrial Conglomerates	Dublin, Ireland		1466258
Integrys Energy Group Inc.	reports	TEG	Utilities	Gas Utilities	Chicago, Illinois		916863
Intel Corp.	reports	INTC	Information Technology	Semiconductors	Santa Clara, California		50863
IntercontinentalExchange Inc.	reports	ICE	Financials	Diversified Financial Services	Atlanta, Georgia		1571949
International Bus. Machines	reports	IBM	Information Technology	IT Consulting & Services	Armonk, New York		51143
International Game Technology	reports	IGT	Consumer Discretionary	Leisure Products	Reno, Nevada		353944
International Paper	reports	IP	Materials	Paper Products	Memphis, Tennessee		51434
Interpublic Group	reports	IPG	Consumer Discretionary	Advertising	New York, New York		51644
Intl Flavors & Fragrances	reports	IFF	Materials	Specialty Chemicals	New York, New York		51253
Intuit Inc.	reports	INTU	Information Technology	Internet Software & Services	Mountain View, California	05.12.2000	896878
Intuitive Surgical Inc.	reports	ISRG	Health Care	Health Care Equipment & Services	Sunnyvale, California		1035267
Invesco Ltd.	reports	IVZ	Financials	Diversified Financial Services	Atlanta, Georgia		914208
Iron Mountain Incorporated	reports	IRM	Industrials	Data Processing Services	Boston, Massachusetts		1020569
Jabil Circuit	reports	JBL	Information Technology	IT Consulting & Services	St. Petersburg, Florida		898293
Jacobs Engineering Group	reports	JEC	Industrials	Industrial Conglomerates	Pasadena, California		52988
Johnson & Johnson	reports	JNJ	Health Care	Health Care Equipment & Services	New Brunswick, New Jersey		200406
Johnson Controls	reports	JCI	Consumer Discretionary	Auto Parts & Equipment	Milwaukee, Wisconsin		53669
Joy Global Inc.	reports	JOY	Industrials	Industrial Machinery	Milwaukee, Wisconsin		801898
JPMorgan Chase & Co.	reports	JPM	Financials	Banks	New York, New York		19617
Juniper Networks	reports	JNPR	Information Technology	Networking Equipment	Sunnyvale, California		1043604
Kansas City Southern	reports	KSU	Industrials	Railroads	Kansas City, Missouri	24.05.2013	54480
Kellogg Co.	reports	K	Consumer Staples	Packaged Foods & Meats	Battle Creek, Michigan		55067
KeyCorp	reports	KEY	Financials	Banks	Cleveland, Ohio		91576
Keurig Green Mountain	reports	GMCR	Consumer Staples	Packaged Foods & Meats	Waterbury, Vermont		909954
Kimberly-Clark	reports	KMB	Consumer Staples	Household Products	Irving, Texas		55785
Kimco Realty	reports	KIM	Financials	REITs	New Hyde Park, New York		879101
Kinder Morgan	reports	KMI	Energy	Oil & Gas Refining & Marketing & Transportation	Houston, Texas	24.05.2012	1506307
KLA-Tencor Corp.	reports	KLAC	Information Technology	Semiconductor Equipment	Milpitas, California		319201
Kohl's Corp.	reports	KSS	Consumer Discretionary	General Merchandise Stores	Menomonee Falls, Wisconsin		885639
Kraft Foods Group	reports	KRFT	Consumer Staples	Packaged Foods & Meats	Northfield, Illinois	02.10.2012	1545158
Kroger Co.	reports	KR	Consumer Staples	Food Retail	Cincinnati, Ohio		56873
L Brands Inc.	reports	LB	Consumer Discretionary	Apparel Retail	Columbus, Ohio		701985
L-3 Communications Holdings	reports	LLL	Industrials	Industrial Conglomerates	New York, New York		1056239
Laboratory Corp. of America Holding	reports	LH	Health Care	Health Care Facilities	Burlington, North Carolina		920148
Lam Research	reports	LRCX	Information Technology	Semiconductor Equipment	Fremont, California		707549
Legg Mason	reports	LM	Financials	Diversified Financial Services	Baltimore, Maryland		704051
Leggett & Platt	reports	LEG	Industrials	Industrial Conglomerates	Carthage, Missouri		58492
Lennar Corp.	reports	LEN	Consumer Discretionary	Homebuilding	Miami, Florida		920760
Leucadia National Corp.	reports	LUK	Financials	Multi-Sector Holdings	New York, New York		96223
Lilly (Eli) & Co.	reports	LLY	Health Care	Pharmaceuticals	Indianapolis, Indiana		59478
Lincoln National	reports	LNC	Financials	Multi-line Insurance	Radnor, Pennsylvania		59558
Linear Technology Corp.	reports	LLTC	Information Technology	Semiconductors	Milpitas, California		791907
Lockheed Martin Corp.	reports	LMT	Industrials	Aerospace & Defense	Bethesda, Maryland		936468
Loews Corp.	reports	L	Financials	Multi-Sector Holdings	New York, New York		60086
Lorillard Inc.	reports	LO	Consumer Staples	Tobacco	Greensboro, North Carolina		1424847
Lowe's Cos.	reports	LOW	Consumer Discretionary	Home Improvement Retail	Mooresville, North Carolina		60667
LyondellBasell	reports	LYB	Materials	Diversified Chemicals	Rotterdam, Netherlands	05.09.2012	1489393
M&T Bank Corp.	reports	MTB	Financials	Banks	Buffalo, New York		36270
Macerich	reports	MAC	Financials	Retail REITs	Santa Monica, California	09.05.2013	912242
Macy's Inc.	reports	M	Consumer Discretionary	Department Stores	Cincinnati, Ohio		794367
3M Company	reports	MMM	Industrials	Industrial Conglomerates	St. Paul, Minnesota		66740
Marathon Oil Corp.	reports	MRO	Energy	Oil & Gas Exploration & Production	Houston, Texas		101778
Marathon Petroleum	reports	MPC	Energy	Oil & Gas Refining & Marketing & Transportation	Findlay, Ohio		1510295
Marriott Int'l.	reports	MAR	Consumer Discretionary	Hotels, Resorts & Cruise Lines	Bethesda, Maryland		1048286
Marsh & McLennan	reports	MMC	Financials	Insurance Brokers	New York, New York		62709
Masco Corp.	reports	MAS	Industrials	Building Products	Taylor, Michigan		62996
Mastercard Inc.	reports	MA	Information Technology	Internet Software & Services	Harrison, New York		1141391
Mattel Inc.	reports	MAT	Consumer Discretionary	Leisure Products	El Segundo, California		63276
McCormick & Co.	reports	MKC	Consumer Staples	Packaged Foods & Meats	Sparks, Maryland		63754
McDonald's Corp.	reports	MCD	Consumer Discretionary	Restaurants	Oak Brook, Illinois		63908
McGraw Hill Financial	reports	MHFI	Financials	Diversified Financial Services	New York, New York		64040
McKesson Corp.	reports	MCK	Health Care	Health Care Distributors & Services	San Francisco, California		927653
Mead Johnson	reports	MJN	Consumer Staples	Packaged Foods & Meats	Glenview, Illinois		1452575
MeadWestvaco Corporation	reports	MWV	Materials	Paper Packaging	Richmond, Virginia		1159297
Medtronic Inc.	reports	MDT	Health Care	Health Care Equipment & Services	Fridley, Minnesota		64670
Merck & Co.	reports	MRK	Health Care	Pharmaceuticals	Whitehouse Station, New Jersey		310158
MetLife Inc.	reports	MET	Financials	Life & Health Insurance	New York, New York		1099219
Microchip Technology	reports	MCHP	Information Technology	Semiconductors	Chandler, Arizona		827054
